City	State	Country
Radomir	Pernik	Bulgaria
Pleven	Pleven	Bulgaria
Levski	Pleven	Bulgaria
Plovdiv	Plovdiv	Bulgaria
Asenovgrad	Plovdiv	Bulgaria
Rakovski	Plovdiv	Bulgaria
Karlovo	Plovdiv	Bulgaria
Parvomay	Plovdiv	Bulgaria
Stamboliyski	Plovdiv	Bulgaria
Krichim	Plovdiv	Bulgaria
Razgrad	Razgrad	Bulgaria
Ruse	Ruse	Bulgaria
Shumen	Shumen	Bulgaria
Veliki Preslav	Shumen	Bulgaria
Novi Pazar	Shumen	Bulgaria
Silistra	Silistra	Bulgaria
Tutrakan	Silistra	Bulgaria
Sliven	Sliven	Bulgaria
Nova Zagora	Sliven	Bulgaria
Smolyan	Smolyan	Bulgaria
Dospat	Smolyan	Bulgaria
Samokov	Sofia	Bulgaria
Botevgrad	Sofia	Bulgaria
Ihtiman	Sofia	Bulgaria
Kostinbrod	Sofia	Bulgaria
Etropole	Sofia	Bulgaria
Sofia	Sofia-Grad	Bulgaria
Novi Iskar	Sofia-Grad	Bulgaria
Bankya	Sofia-Grad	Bulgaria
Stara Zagora	Stara Zagora	Bulgaria
Kazanlak	Stara Zagora	Bulgaria
Chirpan	Stara Zagora	Bulgaria
Radnevo	Stara Zagora	Bulgaria
Targovishte	Targovishte	Bulgaria
Popovo	Targovishte	Bulgaria
Omurtag	Targovishte	Bulgaria
Varna	Varna	Bulgaria
Provadia	Varna	Bulgaria
Avren	Varna	Bulgaria
Devnya	Varna	Bulgaria
Veliko Tarnovo	Veliko Tarnovo	Bulgaria
Gorna Oryahovitsa	Veliko Tarnovo	Bulgaria
Svishtov	Veliko Tarnovo	Bulgaria
Pavlikeni	Veliko Tarnovo	Bulgaria
Vidin	Vidin	Bulgaria
Vratsa	Vratsa	Bulgaria
Byala Slatina	Vratsa	Bulgaria
Mezdra	Vratsa	Bulgaria
Kozloduy	Vratsa	Bulgaria
Knezha	Vratsa	Bulgaria
Yambol	Yambol	Bulgaria
Straldzha	Yambol	Bulgaria
Elhovo	Yambol	Bulgaria
Dedougou	Boucle du Mouhoun	Burkina Faso
Nouna	Boucle du Mouhoun	Burkina Faso
Tougan	Boucle du Mouhoun	Burkina Faso
Salanso	Boucle du Mouhoun	Burkina Faso
Fara	Boucle du Mouhoun	Burkina Faso
Boromo	Boucle du Mouhoun	Burkina Faso
Kouka	Boucle du Mouhoun	Burkina Faso
Toma	Boucle du Mouhoun	Burkina Faso
Pa	Boucle du Mouhoun	Burkina Faso
Bena	Boucle du Mouhoun	Burkina Faso
Banfora	Cascades	Burkina Faso
Niangoloko	Cascades	Burkina Faso
Sideradougou	Cascades	Burkina Faso
Soubakaniedougou	Cascades	Burkina Faso
Beregadougou	Cascades	Burkina Faso
Ouagadougou	Centre	Burkina Faso
Tanghin-Dassouri	Centre	Burkina Faso
Pouytenga	Centre-Est	Burkina Faso
Tenkodogo	Centre-Est	Burkina Faso
Koupela	Centre-Est	Burkina Faso
Garango	Centre-Est	Burkina Faso
Bittou	Centre-Est	Burkina Faso
Beguedo	Centre-Est	Burkina Faso
Zabre	Centre-Est	Burkina Faso
Niaogho	Centre-Est	Burkina Faso
Ouargaye	Centre-Est	Burkina Faso
Ouaregou	Centre-Est	Burkina Faso
Kaya	Centre-Nord	Burkina Faso
Kongoussi	Centre-Nord	Burkina Faso
Bourzanga	Centre-Nord	Burkina Faso
Boulsa	Centre-Nord	Burkina Faso
Pissila	Centre-Nord	Burkina Faso
Korsimoro	Centre-Nord	Burkina Faso
Koudougou	Centre-Ouest	Burkina Faso
Reo	Centre-Ouest	Burkina Faso
Leo	Centre-Ouest	Burkina Faso
Sapouy	Centre-Ouest	Burkina Faso
Vili	Centre-Ouest	Burkina Faso
Sabou	Centre-Ouest	Burkina Faso
Imassogo	Centre-Ouest	Burkina Faso
Nandiala	Centre-Ouest	Burkina Faso
Kokologo	Centre-Ouest	Burkina Faso
Tiou	Centre-Ouest	Burkina Faso
Binde	Centre-Sud	Burkina Faso
Kombissiri	Centre-Sud	Burkina Faso
Manga	Centre-Sud	Burkina Faso
Po	Centre-Sud	Burkina Faso
Sapone	Centre-Sud	Burkina Faso
Gomboussougou	Centre-Sud	Burkina Faso
Fada Ngourma	Est	Burkina Faso
Bogande	Est	Burkina Faso
Diapaga	Est	Burkina Faso
Gayeri	Est	Burkina Faso
Mani	Est	Burkina Faso
Pama	Est	Burkina Faso
Bobo-Dioulasso	Hauts-Bassins	Burkina Faso
Hounde	Hauts-Bassins	Burkina Faso
Orodara	Hauts-Bassins	Burkina Faso
Ouahigouya	Nord	Burkina Faso
Titao	Nord	Burkina Faso
Gourcy	Nord	Burkina Faso
Yako	Nord	Burkina Faso
Zorgo	Plateau-Central	Burkina Faso
Ziniare	Plateau-Central	Burkina Faso
Mogtedo	Plateau-Central	Burkina Faso
Bousse	Plateau-Central	Burkina Faso
Djibo	Sahel	Burkina Faso
Dori	Sahel	Burkina Faso
Aribinda	Sahel	Burkina Faso
Sebba	Sahel	Burkina Faso
Gorom-Gorom	Sahel	Burkina Faso
Gaoua	Sud-Ouest	Burkina Faso
Gaoua	Sud-Ouest	Burkina Faso
Dano	Sud-Ouest	Burkina Faso
Diebougou	Sud-Ouest	Burkina Faso
Batie	Sud-Ouest	Burkina Faso
Kindi		Burkina Faso
Pathein	Ayeyarwady	Burma
Ingabu	Ayeyarwady	Burma
Hinthada	Ayeyarwady	Burma
Pyapon	Ayeyarwady	Burma
Myaungmya	Ayeyarwady	Burma
Wakema	Ayeyarwady	Burma
Labutta	Ayeyarwady	Burma
Maubin	Ayeyarwady	Burma
Myanaung	Ayeyarwady	Burma
Nyaungdon	Ayeyarwady	Burma
Kyonpyaw	Ayeyarwady	Burma
Zalun	Ayeyarwady	Burma
Pantanaw	Ayeyarwady	Burma
Ngathainggyaung	Ayeyarwady	Burma
Kyaunggon	Ayeyarwady	Burma
Ngaputaw	Ayeyarwady	Burma
Chaungtha	Ayeyarwady	Burma
Bago	Bago	Burma
Letpandan	Bago	Burma
Thanatpin	Bago	Burma
Pyay	Bago	Burma
Taungoo	Bago	Burma
Zigon	Bago	Burma
Pyu	Bago	Burma
Kawa	Bago	Burma
Okpo	Bago	Burma
Paletwa	Chin State	Burma
Mindat	Chin State	Burma
Tonzang	Chin State	Burma
Sami	Chin State	Burma
Tiddim	Chin State	Burma
Hakha	Chin State	Burma
Razua	Chin State	Burma
Falam	Chin State	Burma
Myitkyina	Kachin State	Burma
Mogaung	Kachin State	Burma
Bhamo	Kachin State	Burma
Mohnyin	Kachin State	Burma
Shingbwiyang	Kachin State	Burma
Sadon	Kachin State	Burma
Putao	Kachin State	Burma
Loikaw	Kayah State	Burma
Hpa-An	Kayin State	Burma
Myawadi	Kayin State	Burma
Htison	Kayin State	Burma
Paingkyon	Kayin State	Burma
Leiktho	Kayin State	Burma
Kawkareik	Kayin State	Burma
Shanywathit	Kayin State	Burma
Kamamaung	Kayin State	Burma
Bawgalegyi	Kayin State	Burma
Hlaingbwe	Kayin State	Burma
Magway	Magway	Burma
Taungdwingyi	Magway	Burma
Myaydo	Magway	Burma
Allanmyo	Magway	Burma
Yenangyaung	Magway	Burma
Chauk	Magway	Burma
Tawsalun	Magway	Burma
Yesagyo	Magway	Burma
Minbu	Magway	Burma
Pakokku	Magway	Burma
Mandalay	Mandalay	Burma
Kyaukse	Mandalay	Burma
Natogyi	Mandalay	Burma
Meiktila	Mandalay	Burma
Mahlaing	Mandalay	Burma
Myingyan	Mandalay	Burma
Mogok	Mandalay	Burma
Nyaungu	Mandalay	Burma
Amarapura	Mandalay	Burma
Mawlamyine	Mon State	Burma
Mudon	Mon State	Burma
Thaton	Mon State	Burma
Ye	Mon State	Burma
Du Yar	Mon State	Burma
Khaw Zar Chaung Wa	Mon State	Burma
Mawkanin	Mon State	Burma
Nay Pyi Taw	Nay Pyi Taw	Burma
Pyinmana	Nay Pyi Taw	Burma
Lewe	Nay Pyi Taw	Burma
Maungdaw	Rakhine State	Burma
Kyaukpyu	Rakhine State	Burma
Myebon	Rakhine State	Burma
Thandwe	Rakhine State	Burma
Ponnagyun	Rakhine State	Burma
An	Rakhine State	Burma
Sittwe	Rakhine State	Burma
Buthidaung	Rakhine State	Burma
Taungup	Rakhine State	Burma
Kyeintali	Rakhine State	Burma
Minbya	Rakhine State	Burma
Pauktaw	Rakhine State	Burma
Ramree	Rakhine State	Burma
Monywa	Sagaing	Burma
Katha	Sagaing	Burma
Shwebo	Sagaing	Burma
Haka	Sagaing	Burma
Sagaing	Sagaing	Burma
Mawlaik	Sagaing	Burma
Tamu	Sagaing	Burma
Myedu	Sagaing	Burma
Kawlin	Sagaing	Burma
Khampat	Sagaing	Burma
Kyaukmyaung	Sagaing	Burma
Indaw	Sagaing	Burma
Taunggyi	Shan State	Burma
Muse	Shan State	Burma
Lashio	Shan State	Burma
Mong Tun	Shan State	Burma
Kengtung	Shan State	Burma
Tachilek	Shan State	Burma
Namtu	Shan State	Burma
Kyaukme	Shan State	Burma
Namhkam	Shan State	Burma
Aungban	Shan State	Burma
Nansang	Shan State	Burma
Panglong	Shan State	Burma
Nawnghkio	Shan State	Burma
Wan Long	Shan State	Burma
Hsenwi	Shan State	Burma
Myeik	Tanintharyi	Burma
Dawei	Tanintharyi	Burma
Kawthoung	Tanintharyi	Burma
Palaw	Tanintharyi	Burma
Rangoon	Yangon	Burma
Thingangyun	Yangon	Burma
Thanhlyin	Yangon	Burma
Thongwa	Yangon	Burma
Hlegu	Yangon	Burma
Bubanza	Bubanza	Burundi
Bujumbura	Bujumbura Mairie	Burundi
Gatumba	Bujumbura Rural	Burundi
Isale	Bujumbura Rural	Burundi
Bururi	Bururi	Burundi
Cankuzo	Cankuzo	Burundi
Cibitoke	Cibitoke	Burundi
Gitega	Gitega	Burundi
Ruyigi	Karuzi	Burundi
Zanandore	Karuzi	Burundi
Karuzi	Karuzi	Burundi
Kayanza	Kayanza	Burundi
Kirundo	Kirundo	Burundi
Makamba	Makamba	Burundi
Muramvya	Muramvya	Burundi
Muyinga	Muyinga	Burundi
Gitega	Mwaro	Burundi
Ngozi	Ngozi	Burundi
Rumonge	Rumonge	Burundi
Rutana	Rutana	Burundi
Ruyigi	Ruyigi	Burundi
Sal Rei	Boa Vista	Cabo Verde
Nova Sintra	Brava	Cabo Verde
Porto Ingles	Maio	Cabo Verde
Igreja	Mosteiros	Cabo Verde
Pombas	Paul	Cabo Verde
Porto Novo	Porto Novo	Cabo Verde
Praia	Praia	Cabo Verde
Ribeira Brava	Ribeira Brava	Cabo Verde
Ponta do Sol	Ribeira Grande	Cabo Verde
Ribeira Grande	Ribeira Grande	Cabo Verde
Cidade Velha	Ribeira Grande de Santiago	Cabo Verde
Espargos	Sal	Cabo Verde
Assomada	Santa Catarina	Cabo Verde
Cova Figueira	Santa Catarina do Fogo	Cabo Verde
Pedra Badejo	Santa Cruz	Cabo Verde
Sao Domingos	São Domingos	Cabo Verde
Sao Filipe	São Filipe	Cabo Verde
Joao Teves	São Lourenço dos Órgãos	Cabo Verde
Calheta de Sao Miguel	São Miguel	Cabo Verde
Picos	São Salvador do Mundo	Cabo Verde
Mindelo	São Vicente	Cabo Verde
Tarrafal	Tarrafal	Cabo Verde
Tarrafal	Tarrafal de São Nicolau	Cabo Verde
Sisophon	Banteay Meanchey	Cambodia
Paoy Paet	Banteay Meanchey	Cambodia
Battambang	Battambang	Cambodia
Kampong Cham	Kampong Cham	Cambodia
Kampong Chhnang	Kampong Chhnang	Cambodia
Chbar Mon	Kampong Speu	Cambodia
Kampong Speu	Kampong Speu	Cambodia
Kampong Thom	Kampong Thom	Cambodia
Kampong Thum	Kampong Thom	Cambodia
Kampong Trach	Kampot	Cambodia
Kampot	Kampot	Cambodia
Ta Khmau	Kandal	Cambodia
Krong Kep	Kep	Cambodia
Koh Kong	Koh Kong	Cambodia
Kratie	Kratie	Cambodia
Sen Monorom	Mondolkiri	Cambodia
Samraong	Oddar Meanchey	Cambodia
Pailin	Pailin	Cambodia
Phnom Penh	Phnom Penh	Cambodia
Svay Pak	Phnom Penh	Cambodia
Sihanoukville	Preah Sihanouk	Cambodia
Tbeng Meanchey	Preah Vihear	Cambodia
Preah Vihear	Preah Vihear	Cambodia
Prey Veng	Prey Veng	Cambodia
Pursat	Pursat	Cambodia
Banlung	Ratanakiri	Cambodia
Lumphat	Ratanakiri	Cambodia
Siem Reap	Siem Reap	Cambodia
Stung Treng	Stung Treng	Cambodia
Svay Rieng	Svay Rieng	Cambodia
Takeo	Takeo	Cambodia
Suong	Tbong Khmum	Cambodia
Ngaoundere	Adamaoua	Cameroon
Tibati	Adamaoua	Cameroon
Meiganga	Adamaoua	Cameroon
Ngaoundal	Adamaoua	Cameroon
Kontcha	Adamaoua	Cameroon
Yaounde	Centre	Cameroon
Eseka	Centre	Cameroon
Bafia	Centre	Cameroon
Mbalmayo	Centre	Cameroon
Akonolinga	Centre	Cameroon
Obala	Centre	Cameroon
Monatele	Centre	Cameroon
Nanga Eboko	Centre	Cameroon
Ayos	Centre	Cameroon
Mbandjok	Centre	Cameroon
Nkoteng	Centre	Cameroon
Yoko	Centre	Cameroon
Mfou	Centre	Cameroon
Akono	Centre	Cameroon
Bertoua	Est	Cameroon
Batouri	Est	Cameroon
Messamena	Est	Cameroon
Yokadouma	Est	Cameroon
Garoua Boulai	Est	Cameroon
Belabo	Est	Cameroon
Abong Mbang	Est	Cameroon
Diang	Est	Cameroon
Maroua	Extrême-Nord	Cameroon
Kousseri	Extrême-Nord	Cameroon
Bogo	Extrême-Nord	Cameroon
Maga	Extrême-Nord	Cameroon
Mora	Extrême-Nord	Cameroon
Yagoua	Extrême-Nord	Cameroon
Mokolo	Extrême-Nord	Cameroon
Kaele	Extrême-Nord	Cameroon
Kalfou	Extrême-Nord	Cameroon
Douala	Littoral	Cameroon
Nkongsamba	Littoral	Cameroon
Edea	Littoral	Cameroon
Melong	Littoral	Cameroon
Loum	Littoral	Cameroon
Mbanga	Littoral	Cameroon
Manjo	Littoral	Cameroon
Garoua	Nord	Cameroon
Bibemi	Nord	Cameroon
Guider	Nord	Cameroon
Figuil	Nord	Cameroon
Pitoa	Nord	Cameroon
Lagdo	Nord	Cameroon
Touboro	Nord	Cameroon
Bamenda	North-West	Cameroon
Widekum	North-West	Cameroon
Bafut	North-West	Cameroon
Kumbo	North-West	Cameroon
Baba I	North-West	Cameroon
Bamessing	North-West	Cameroon
Bamessi	North-West	Cameroon
Wum	North-West	Cameroon
Bambalang	North-West	Cameroon
Bamukumbit	North-West	Cameroon
Bafanji	North-West	Cameroon
Balikumbat	North-West	Cameroon
Bafoussam	Ouest	Cameroon
Foumban	Ouest	Cameroon
Dschang	Ouest	Cameroon
Foumbot	Ouest	Cameroon
Baham	Ouest	Cameroon
Mbouda	Ouest	Cameroon
Bamendjou	Ouest	Cameroon
Bafang	Ouest	Cameroon
Batcha	Ouest	Cameroon
Kekem	Ouest	Cameroon
Bamumkumbit	Ouest	Cameroon
Ngou	Ouest	Cameroon
Tefam	Ouest	Cameroon
Buea	South-West	Cameroon
Tiko	South-West	Cameroon
Mamfe	South-West	Cameroon
Kumba	South-West	Cameroon
Nguti	South-West	Cameroon
Limbe	South-West	Cameroon
Aiyomojok	South-West	Cameroon
Ebolowa	Sud	Cameroon
Sangmelima	Sud	Cameroon
Kribi	Sud	Cameroon
Ambam	Sud	Cameroon
Biwong	Sud	Cameroon
Ngoulemakong	Sud	Cameroon
Akom II	Sud	Cameroon
Olamze	Sud	Cameroon
Calgary	Alberta	Canada
Edmonton	Alberta	Canada
Red Deer	Alberta	Canada
Lethbridge	Alberta	Canada
Airdrie	Alberta	Canada
Wood Buffalo	Alberta	Canada
St. Albert	Alberta	Canada
Fort McMurray	Alberta	Canada
Grande Prairie	Alberta	Canada
Medicine Hat	Alberta	Canada
Spruce Grove	Alberta	Canada
Leduc	Alberta	Canada
Cochrane	Alberta	Canada
Okotoks	Alberta	Canada
Fort Saskatchewan	Alberta	Canada
Chestermere	Alberta	Canada
Beaumont	Alberta	Canada
Lloydminster	Alberta	Canada
Camrose	Alberta	Canada
Stony Plain	Alberta	Canada
Sylvan Lake	Alberta	Canada
Canmore	Alberta	Canada
Cold Lake	Alberta	Canada
Brooks	Alberta	Canada
Strathmore	Alberta	Canada
High River	Alberta	Canada
Lacombe	Alberta	Canada
Wetaskiwin	Alberta	Canada
Morinville	Alberta	Canada
Blackfalds	Alberta	Canada
Hinton	Alberta	Canada
Whitecourt	Alberta	Canada
Olds	Alberta	Canada
Taber	Alberta	Canada
Coaldale	Alberta	Canada
Vancouver	British Columbia	Canada
Surrey	British Columbia	Canada
Victoria	British Columbia	Canada
Burnaby	British Columbia	Canada
Richmond	British Columbia	Canada
Kelowna	British Columbia	Canada
Abbotsford	British Columbia	Canada
Coquitlam	British Columbia	Canada
Saanich	British Columbia	Canada
White Rock	British Columbia	Canada
Delta	British Columbia	Canada
Nanaimo	British Columbia	Canada
Kamloops	British Columbia	Canada
Chilliwack	British Columbia	Canada
Maple Ridge	British Columbia	Canada
New Westminster	British Columbia	Canada
Prince George	British Columbia	Canada
Port Coquitlam	British Columbia	Canada
North Vancouver	British Columbia	Canada
Vernon	British Columbia	Canada
Courtenay	British Columbia	Canada
Langford Station	British Columbia	Canada
West Vancouver	British Columbia	Canada
Mission	British Columbia	Canada
Campbell River	British Columbia	Canada
Penticton	British Columbia	Canada
East Kelowna	British Columbia	Canada
Port Moody	British Columbia	Canada
North Cowichan	British Columbia	Canada
Langley	British Columbia	Canada
Parksville	British Columbia	Canada
Duncan	British Columbia	Canada
Tsawwassen	British Columbia	Canada
Squamish	British Columbia	Canada
Ladner	British Columbia	Canada
Port Alberni	British Columbia	Canada
Fort St. John	British Columbia	Canada
Cranbrook	British Columbia	Canada
Salmon Arm	British Columbia	Canada
Pitt Meadows	British Columbia	Canada
Colwood	British Columbia	Canada
Oak Bay	British Columbia	Canada
Esquimalt	British Columbia	Canada
Central Saanich	British Columbia	Canada
Lake Country	British Columbia	Canada
Sooke	British Columbia	Canada
Comox	British Columbia	Canada
Terrace	British Columbia	Canada
Powell River	British Columbia	Canada
Trail	British Columbia	Canada
Dawson Creek	British Columbia	Canada
Sidney	British Columbia	Canada
Prince Rupert	British Columbia	Canada
North Saanich	British Columbia	Canada
Quesnel	British Columbia	Canada
Williams Lake	British Columbia	Canada
Whistler	British Columbia	Canada
Summerland	British Columbia	Canada
View Royal	British Columbia	Canada
Nelson	British Columbia	Canada
Ladysmith	British Columbia	Canada
Coldstream	British Columbia	Canada
Sechelt	British Columbia	Canada
Castlegar	British Columbia	Canada
Gibsons	British Columbia	Canada
Qualicum Beach	British Columbia	Canada
Winnipeg	Manitoba	Canada
Brandon	Manitoba	Canada
Steinbach	Manitoba	Canada
Springfield	Manitoba	Canada
Hanover	Manitoba	Canada
Winkler	Manitoba	Canada
Portage La Prairie	Manitoba	Canada
Thompson	Manitoba	Canada
Tache	Manitoba	Canada
St. Andrews	Manitoba	Canada
St. Clements	Manitoba	Canada
Selkirk	Manitoba	Canada
Morden	Manitoba	Canada
East St. Paul	Manitoba	Canada
Stanley	Manitoba	Canada
Moncton	New Brunswick	Canada
Saint John	New Brunswick	Canada
Fredericton	New Brunswick	Canada
Dieppe	New Brunswick	Canada
Quispamsis	New Brunswick	Canada
Riverview	New Brunswick	Canada
Miramichi	New Brunswick	Canada
Edmundston	New Brunswick	Canada
Bathurst	New Brunswick	Canada
Chatham	New Brunswick	Canada
Oromocto	New Brunswick	Canada
Campbellton	New Brunswick	Canada
Shediac	New Brunswick	Canada
St. John's	Newfoundland and Labrador	Canada
Conception Bay South	Newfoundland and Labrador	Canada
Paradise	Newfoundland and Labrador	Canada
Mount Pearl Park	Newfoundland and Labrador	Canada
Corner Brook	Newfoundland and Labrador	Canada
Grand Falls	Newfoundland and Labrador	Canada
Gander	Newfoundland and Labrador	Canada
Labrador City	Newfoundland and Labrador	Canada
Yellowknife	Northwest Territories	Canada
Halifax	Nova Scotia	Canada
Cape Breton	Nova Scotia	Canada
Truro	Nova Scotia	Canada
New Glasgow	Nova Scotia	Canada
Inverness	Nova Scotia	Canada
Glace Bay	Nova Scotia	Canada
Kentville	Nova Scotia	Canada
Sydney Mines	Nova Scotia	Canada
Chester	Nova Scotia	Canada
Queens	Nova Scotia	Canada
Amherst	Nova Scotia	Canada
Bridgewater	Nova Scotia	Canada
Iqaluit	Nunavut	Canada
Toronto	Ontario	Canada
Ottawa	Ontario	Canada
Hamilton	Ontario	Canada
Mississauga	Ontario	Canada
Brampton	Ontario	Canada
Kitchener	Ontario	Canada
London	Ontario	Canada
Markham	Ontario	Canada
Oshawa	Ontario	Canada
Vaughan	Ontario	Canada
Windsor	Ontario	Canada
St. Catharines	Ontario	Canada
Oakville	Ontario	Canada
Richmond Hill	Ontario	Canada
Burlington	Ontario	Canada
Sudbury	Ontario	Canada
Barrie	Ontario	Canada
Guelph	Ontario	Canada
Whitby	Ontario	Canada
Cambridge	Ontario	Canada
Kanata	Ontario	Canada
Milton	Ontario	Canada
Kingston	Ontario	Canada
Ajax	Ontario	Canada
Waterloo	Ontario	Canada
Thunder Bay	Ontario	Canada
Brantford	Ontario	Canada
Chatham	Ontario	Canada
Clarington	Ontario	Canada
Pickering	Ontario	Canada
Niagara Falls	Ontario	Canada
Newmarket	Ontario	Canada
Peterborough	Ontario	Canada
Kawartha Lakes	Ontario	Canada
Caledon	Ontario	Canada
Belleville	Ontario	Canada
Sarnia	Ontario	Canada
Sault Ste. Marie	Ontario	Canada
Welland	Ontario	Canada
Halton Hills	Ontario	Canada
Aurora	Ontario	Canada
Bowmanville	Ontario	Canada
North Bay	Ontario	Canada
Stouffville	Ontario	Canada
Cornwall	Ontario	Canada
Georgina	Ontario	Canada
Woodstock	Ontario	Canada
Quinte West	Ontario	Canada
St. Thomas	Ontario	Canada
Georgetown	Ontario	Canada
New Tecumseth	Ontario	Canada
Innisfil	Ontario	Canada
Bradford West Gwillimbury	Ontario	Canada
Timmins	Ontario	Canada
Lakeshore	Ontario	Canada
Brant	Ontario	Canada
Bradford	Ontario	Canada
Leamington	Ontario	Canada
East Gwillimbury	Ontario	Canada
Orangeville	Ontario	Canada
Orillia	Ontario	Canada
Stratford	Ontario	Canada
Fort Erie	Ontario	Canada
LaSalle	Ontario	Canada
Centre Wellington	Ontario	Canada
Grimsby	Ontario	Canada
King	Ontario	Canada
Keswick	Ontario	Canada
Woolwich	Ontario	Canada
Bolton	Ontario	Canada
Clarence-Rockland	Ontario	Canada
Midland	Ontario	Canada
Lincoln	Ontario	Canada
Wasaga Beach	Ontario	Canada
Collingwood	Ontario	Canada
Strathroy-Caradoc	Ontario	Canada
Thorold	Ontario	Canada
Amherstburg	Ontario	Canada
Tecumseh	Ontario	Canada
Alliston	Ontario	Canada
Fergus	Ontario	Canada
Essa	Ontario	Canada
Lindsay	Ontario	Canada
Owen Sound	Ontario	Canada
Brockville	Ontario	Canada
Kingsville	Ontario	Canada
Springwater	Ontario	Canada
Scugog	Ontario	Canada
Uxbridge	Ontario	Canada
Wilmot	Ontario	Canada
Essex	Ontario	Canada
Oro-Medonte	Ontario	Canada
Cobourg	Ontario	Canada
South Frontenac	Ontario	Canada
Port Colborne	Ontario	Canada
Huntsville	Ontario	Canada
Russell	Ontario	Canada
Niagara-on-the-Lake	Ontario	Canada
Middlesex Centre	Ontario	Canada
Selwyn	Ontario	Canada
Tillsonburg	Ontario	Canada
Pelham	Ontario	Canada
Petawawa	Ontario	Canada
North Grenville	Ontario	Canada
Loyalist	Ontario	Canada
Port Hope	Ontario	Canada
Pembroke	Ontario	Canada
Simcoe	Ontario	Canada
Strathroy	Ontario	Canada
Bracebridge	Ontario	Canada
Greater Napanee	Ontario	Canada
Kenora	Ontario	Canada
Paris	Ontario	Canada
Mississippi Mills	Ontario	Canada
St. Clair	Ontario	Canada
Angus	Ontario	Canada
West Lincoln	Ontario	Canada
New Hamburg	Ontario	Canada
West Nipissing / Nipissing Ouest	Ontario	Canada
Clearview	Ontario	Canada
Thames Centre	Ontario	Canada
Carleton Place	Ontario	Canada
Guelph/Eramosa	Ontario	Canada
Central Elgin	Ontario	Canada
Saugeen Shores	Ontario	Canada
Ingersoll	Ontario	Canada
Rockland	Ontario	Canada
South Stormont	Ontario	Canada
Severn	Ontario	Canada
Beamsville	Ontario	Canada
South Glengarry	Ontario	Canada
North Perth	Ontario	Canada
Trent Hills	Ontario	Canada
The Nation / La Nation	Ontario	Canada
West Grey	Ontario	Canada
Gravenhurst	Ontario	Canada
Perth East	Ontario	Canada
Caledonia	Ontario	Canada
Wellington North	Ontario	Canada
Brighton	Ontario	Canada
Tiny	Ontario	Canada
Hawkesbury	Ontario	Canada
Brock	Ontario	Canada
Erin	Ontario	Canada
Kincardine	Ontario	Canada
Elliot Lake	Ontario	Canada
Arnprior	Ontario	Canada
North Dundas	Ontario	Canada
Wellesley	Ontario	Canada
Georgian Bluffs	Ontario	Canada
Norwich	Ontario	Canada
Meaford	Ontario	Canada
Adjala-Tosorontio	Ontario	Canada
Hamilton Township	Ontario	Canada
South Dundas	Ontario	Canada
Binbrook	Ontario	Canada
Elmira	Ontario	Canada
Lambton Shores	Ontario	Canada
North Dumfries	Ontario	Canada
Mapleton	Ontario	Canada
Wallaceburg	Ontario	Canada
Rideau Lakes	Ontario	Canada
North Glengarry	Ontario	Canada
South Huron	Ontario	Canada
Penetanguishene	Ontario	Canada
Tay	Ontario	Canada
Cavan Monaghan	Ontario	Canada
Temiskaming Shores	Ontario	Canada
Grey Highlands	Ontario	Canada
Alfred and Plantagenet	Ontario	Canada
Port Elgin	Ontario	Canada
Tottenham	Ontario	Canada
Port Perry	Ontario	Canada
Elizabethtown-Kitley	Ontario	Canada
Listowel	Ontario	Canada
Crystal Beach	Ontario	Canada
Smiths Falls	Ontario	Canada
Ramara	Ontario	Canada
Leeds and the Thousand Islands	Ontario	Canada
Brockton	Ontario	Canada
Laurentian Valley	Ontario	Canada
Mono	Ontario	Canada
Acton	Ontario	Canada
Malahide	Ontario	Canada
Huron East	Ontario	Canada
Beckwith	Ontario	Canada
Shelburne	Ontario	Canada
West Perth	Ontario	Canada
Champlain	Ontario	Canada
Embrun	Ontario	Canada
Minto	Ontario	Canada
Charlottetown	Prince Edward Island	Canada
Summerside	Prince Edward Island	Canada
Stratford	Prince Edward Island	Canada
Montreal	Quebec	Canada
Quebec City	Quebec	Canada
Laval	Quebec	Canada
Gatineau	Quebec	Canada
Longueuil	Quebec	Canada
Sherbrooke	Quebec	Canada
Levis	Quebec	Canada
Saguenay	Quebec	Canada
Trois-Rivieres	Quebec	Canada
Terrebonne	Quebec	Canada
Chicoutimi	Quebec	Canada
Saint-Jerome	Quebec	Canada
Saint-Jean-sur-Richelieu	Quebec	Canada
Brossard	Quebec	Canada
Repentigny	Quebec	Canada
Drummondville	Quebec	Canada
Chateauguay	Quebec	Canada
Granby	Quebec	Canada
Mirabel	Quebec	Canada
Blainville	Quebec	Canada
Lac-Brome	Quebec	Canada
Saint-Hyacinthe	Quebec	Canada
Beloeil	Quebec	Canada
Mascouche	Quebec	Canada
Shawinigan	Quebec	Canada
Joliette	Quebec	Canada
Rimouski	Quebec	Canada
Dollard-des-Ormeaux	Quebec	Canada
Victoriaville	Quebec	Canada
Saint-Eustache	Quebec	Canada
Vaudreuil-Dorion	Quebec	Canada
Salaberry-de-Valleyfield	Quebec	Canada
Rouyn-Noranda	Quebec	Canada
Boucherville	Quebec	Canada
Sorel-Tracy	Quebec	Canada
Cote-Saint-Luc	Quebec	Canada
Pointe-Claire	Quebec	Canada
Saint-Georges	Quebec	Canada
Val-d'Or	Quebec	Canada
Chambly	Quebec	Canada
Alma	Quebec	Canada
